name,kaggle_url
Qwen3 Next 80B,https://www.kaggle.com/models/qwen-lm/qwen3-next-80b
Qwen2.5,https://www.kaggle.com/models/qwen-lm/qwen2.5
VaultGemma,https://www.kaggle.com/models/google/vaultgemma
Qwen 3 VL,https://www.kaggle.com/models/qwen-lm/qwen-3-vl
Gemma,https://www.kaggle.com/models/google/gemma
Qwen 3 Embedding,https://www.kaggle.com/models/qwen-lm/qwen-3-embedding
Qwen 3,https://www.kaggle.com/models/qwen-lm/qwen-3
Gemma,https://www.kaggle.com/models/keras/gemma
Granite 4.0,https://www.kaggle.com/models/ibm-granite/granite-4.0
EmbeddingGemma,https://www.kaggle.com/models/google/embeddinggemma
Gemma 3,https://www.kaggle.com/models/google/gemma-3
Qwen 3 Guard,https://www.kaggle.com/models/qwen-lm/qwen-3-guard
