name,kaggle_url
AI21 Jamba 1.7,https://www.kaggle.com/models/ai21labs/ai21-jamba-1.7
AIAgenticOptimizedCodeLLM,https://www.kaggle.com/models/andrometocs/aiagenticoptimizedcodellm
AIBusinessAnalystDocumentGenerator,https://www.kaggle.com/models/andrometocs/aibusinessanalystdocumentgenerator
ALBERT,https://www.kaggle.com/models/keras/albert
Alpaca,https://www.kaggle.com/models/tatsu-lab/alpaca
AlpacaFarm,https://www.kaggle.com/models/tatsu-lab/alpaca-farm
AlphaMaze v0.2,https://www.kaggle.com/models/menlo/alphamaze-v0.2
AlphaSpace,https://www.kaggle.com/models/menlo/alphaspace
AndroGemmaLLMPipelineModel,https://www.kaggle.com/models/andrometocs/androgemmallmpipelinemodel
AndroLGBMEnsemblePipeline,https://www.kaggle.com/models/andrometocs/androlgbmensemblepipeline
Andro_custom_ml_vector_regression_model,https://www.kaggle.com/models/andrometocs/andro_custom_ml_vector_regression_model
Andrometocs_English_4Indian_Languages_V1.pickle,https://www.kaggle.com/models/andrometocs/andrometocs_english_4indian_languages_v1.pickle
Audiobox Aesthetics,https://www.kaggle.com/models/metaresearch/audiobox-aesthetics
Aya Expanse,https://www.kaggle.com/models/cohereforai/aya-expanse
Aya Vision,https://www.kaggle.com/models/cohereforai/aya-vision
BART,https://www.kaggle.com/models/keras/bart
BASNet,https://www.kaggle.com/models/keras/basnet
BERT,https://www.kaggle.com/models/keras/bert
BLOOM,https://www.kaggle.com/models/keras/bloom
CLIP,https://www.kaggle.com/models/keras/clip
CLIP ViT,https://www.kaggle.com/models/laionai/clip-vit
CSPDarkNet,https://www.kaggle.com/models/keras/cspdarknet
CenterPillar,https://www.kaggle.com/models/keras/centerpillar
ChatGLM2,https://www.kaggle.com/models/thudm-keg/chatglm2
Clean NHiTS Model,https://www.kaggle.com/models/kp-labs/clean-nhits-model
Code Llama,https://www.kaggle.com/models/metaresearch/codellama
CodeGemma,https://www.kaggle.com/models/keras/codegemma
CodeGemma,https://www.kaggle.com/models/google/codegemma
ColQwen,https://www.kaggle.com/models/metric-ai/colqwen
Command R Plus,https://www.kaggle.com/models/cohereforai/c4ai-command-r-plus
Conformer,https://www.kaggle.com/models/kaggle/conformer
Contrastive Language-Image Pre-Training,https://www.kaggle.com/models/kerashub/clip
Cucaracha - ImgClass - Brazilian Personal Document,https://www.kaggle.com/models/cucaracha-project/cucaracha-imgclass-brazilian-personal-document
Cucaracha - ImgClass - Document is signed,https://www.kaggle.com/models/cucaracha-project/cucaracha-imgclass-document-is-signed
D-FINE,https://www.kaggle.com/models/keras/d-fine
DINO v2,https://www.kaggle.com/models/metaresearch/dinov2
DINOV2,https://www.kaggle.com/models/keras/dinov2
DataGemma RAG,https://www.kaggle.com/models/google/datagemma-rag
DataGemma RIG,https://www.kaggle.com/models/google/datagemma-rig
DeBERTaV3,https://www.kaggle.com/models/keras/deberta_v3
DePlot,https://www.kaggle.com/models/google/deplot
DeepLabV3,https://www.kaggle.com/models/kerashub/deeplabv3
DeepLabV3Plus,https://www.kaggle.com/models/keras/deeplabv3plus
DeepSeek Coder V2,https://www.kaggle.com/models/deepseek-ai/deepseek-coder-v2
DeepSeek Math,https://www.kaggle.com/models/deepseek-ai/deepseek-math
DeepSeek Prover,https://www.kaggle.com/models/deepseek-ai/deepseek-prover
DeepSeek R1,https://www.kaggle.com/models/deepseek-ai/deepseek-r1
DeepSeek R1 0528,https://www.kaggle.com/models/deepseek-ai/deepseek-r1-0528
DeepSeek V2,https://www.kaggle.com/models/deepseek-ai/deepseek-v2
DeepSeek V3,https://www.kaggle.com/models/deepseek-ai/deepseek-v3
DeepseekCodingPatternPipeline,https://www.kaggle.com/models/andrometocs/deepseekcodingpatternpipeline
DeiT,https://www.kaggle.com/models/keras/deit
DenseNet,https://www.kaggle.com/models/keras/densenet
DenseNet,https://www.kaggle.com/models/kerashub/densenet
Depth Anything,https://www.kaggle.com/models/keras/depth-anything
Devstral Small 2507,https://www.kaggle.com/models/mistral-ai/devstral-small-2507
Devstral-Small-2505,https://www.kaggle.com/models/mistral-ai/devstral-small-2505
DistilBERT,https://www.kaggle.com/models/keras/distil_bert
Dolly 2.0,https://www.kaggle.com/models/databricks/dolly-v2
EDADatascienceAIAgent,https://www.kaggle.com/models/andrometocs/edadatascienceaiagent
ELECTRA,https://www.kaggle.com/models/keras/electra
ESM-2,https://www.kaggle.com/models/keras/esm-2
EfficientNet,https://www.kaggle.com/models/timm/tf-efficientnet
EfficientNet,https://www.kaggle.com/models/keras/efficientnet
EfficientNet,https://www.kaggle.com/models/kerashub/efficientnet
EfficientNet CondConv,https://www.kaggle.com/models/timm/tf-efficientnet-condconv
EfficientNet Lite,https://www.kaggle.com/models/timm/tf-efficientnet-lite
EfficientNetV2,https://www.kaggle.com/models/keras/efficientnetv2
EmbeddingGemma,https://www.kaggle.com/models/google/embeddinggemma
F-VLM,https://www.kaggle.com/models/googleai/f-vlm
FLUX.1,https://www.kaggle.com/models/black-forest-labs/flux
FNet,https://www.kaggle.com/models/keras/f_net
Falcon,https://www.kaggle.com/models/keras/falcon
FasterRCNN,https://www.kaggle.com/models/keras/fasterrcnn
GPT-2,https://www.kaggle.com/models/keras/gpt2
Gemini 1.0 Pro API,https://www.kaggle.com/models/google/gemini-api
Gemini 1.5 Flash API,https://www.kaggle.com/models/google/gemini-1.5-flash-api
Gemini 1.5 Flash-8B API,https://www.kaggle.com/models/google/gemini-1.5-flash-8b-api
Gemini 1.5 Pro API,https://www.kaggle.com/models/google/gemini-1.5-pro-api
Gemini 2.0 Flash API,https://www.kaggle.com/models/google/gemini-2.0-flash-api
Gemini 2.5 Flash API,https://www.kaggle.com/models/google/gemini-2.5-flash-api
Gemini 2.5 Pro API,https://www.kaggle.com/models/google/gemini-2.5-pro-api
Gemma,https://www.kaggle.com/models/google/gemma
Gemma,https://www.kaggle.com/models/keras/gemma
Gemma 2,https://www.kaggle.com/models/google/gemma-2
Gemma 2,https://www.kaggle.com/models/keras/gemma2
Gemma 2 2b JPN IT,https://www.kaggle.com/models/google/gemma-2-2b-jpn-it
Gemma 3,https://www.kaggle.com/models/google/gemma-3
Gemma 3,https://www.kaggle.com/models/keras/gemma3
Gemma 3n,https://www.kaggle.com/models/google/gemma-3n
Gemma-SEA-LION-v3-9B,https://www.kaggle.com/models/ai-singapore/gemma2-9b-cpt-sea-lionv3-base
Gemma-SEA-LION-v3-9B-IT,https://www.kaggle.com/models/ai-singapore/gemma2-9b-cpt-sea-lionv3-instruct
Gemma-SEA-LION-v4-27B,https://www.kaggle.com/models/ai-singapore/gemma-sea-lion-v4-27b
Gemma-SEA-LION-v4-27B-IT,https://www.kaggle.com/models/ai-singapore/gemma-sea-lion-v4-27b-it
Gemma-SEA-LION-v4-27B-IT-FP8-Dynamic,https://www.kaggle.com/models/ai-singapore/gemma-sea-lion-v4-27b-it-fp8-dynamic
Gemma-SEA-LION-v4-27B-IT-GGUF,https://www.kaggle.com/models/ai-singapore/gemma-sea-lion-v4-27b-it-gguf
Gemma-SEA-LION-v4-27B-IT-NVFP4,https://www.kaggle.com/models/ai-singapore/gemma-sea-lion-v4-27b-it-nvfp4
Granite 4.0,https://www.kaggle.com/models/ibm-granite/granite-4.0
Granite Speech,https://www.kaggle.com/models/ibm-granite/granite-speech
HGNetV2,https://www.kaggle.com/models/keras/hgnetv2
Hallucination Evaluation Model (HHEM),https://www.kaggle.com/models/vectara/hallucination_evaluation_model
ImageBind,https://www.kaggle.com/models/metaresearch/imagebind
Insurance_Regression_MLmodel_load,https://www.kaggle.com/models/andrometocs/insurance_regression_mlmodel_load
InternLM 2.5,https://www.kaggle.com/models/intern-ai/internlm2.5
InternLM 3,https://www.kaggle.com/models/intern-ai/internlm-3
